,0,1,2,3,4,5,6
0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,176.77087186901105,10.738685172315924,174.54478818373877,179.92437955822913,9.99143514789273,184.1872298026969
2,2,176.92144416418157,10.70134756726954,174.02869211954913,179.61521514163556,9.99983040152415,184.15678268655068
3,3,177.32786227161824,10.513025707071513,173.55169552927163,179.6718085499865,9.990651991765333,183.71676991828073
4,4,177.5687587204676,10.411429444575926,173.37629695971006,179.53543921702226,10.0847339754352,183.60634295655058
5,5,177.88352852051813,10.497277127793343,172.2930613515922,179.52165797960146,10.062810134728068,183.16884779218125
6,6,178.0525083455091,10.436629000028272,172.27960239337705,179.52172351434308,10.110664057486986,182.5189180971239
7,7,178.39614348175124,10.383767021529772,172.29604914381582,179.6451353124276,10.083301437003797,182.16967913876988
8,8,178.40925251909394,10.344197044289999,172.46566601308626,179.7520336610668,10.169383977792506,182.89022256831606
9,9,178.3984624748278,10.463204890929989,172.62906301013103,179.94494847352377,10.134779266000123,182.64170445862987
10,10,178.747391386459,10.323494055917223,172.57803803079025,180.02419180901873,10.198035645381253,183.39589564998718
11,11,179.0163471363546,10.289416289289733,172.51498552717598,179.7003967711942,10.206815030435507,183.6075937743838
12,12,180.14094954408375,10.427502030911844,173.5290998440082,178.59422920972435,10.331784333006453,183.9434442409317
13,13,181.5528222041023,11.355341083369762,177.2878471242384,176.52402240558575,11.755969638765407,187.00496477210112
14,14,184.25107333370892,13.970995681408242,176.9178288530813,176.01123008889027,17.125747015148647,184.61855936179333
15,15,192.5468436502273,47.22437156063166,182.22925175435563,168.9227741048154,60.35080800847027,177.91924496122746
16,16,188.03471159190556,63.05643150388376,179.76409972203777,170.89067328867827,77.75048311212254,176.78216212342534
17,17,187.8069876305018,75.41535634720277,175.96649726587094,172.2224735923614,89.45354965859144,179.19721291274263
18,18,189.57504404351545,81.73321552299922,173.0920931582355,175.2495232488496,98.98781978576608,183.08387548284296
19,19,186.40324412175156,87.03703201726273,168.64599001226634,179.3279943111741,104.33714923313309,179.68555479145107
20,20,186.38662517097788,89.98076903325106,167.48002984675537,179.98197208224644,106.0064423942961,176.4561430784658
21,21,185.95484524076292,90.3264991107591,168.14783969802573,180.66056006109562,106.07969887047182,177.59192408551502
22,22,185.25944217704514,89.94294811304378,169.5837667141013,181.10077446123194,105.53297031434141,180.57410912732058
23,23,183.40352488208208,88.02004838233063,169.8649866755221,180.83192570916455,103.71707992327043,184.89141383748398
